,medal_type,country_code,discipline,code_athlete
317,Gold,CAN,Athletics,1974151
318,Silver,HUN,Athletics,1916814
319,Bronze,UKR,Athletics,1571563
320,Gold,UKR,Athletics,1571559
321,Silver,AUS,Athletics,1939838
322,Bronze,UKR,Athletics,1571577
323,Bronze,AUS,Athletics,1939763
324,Bronze,INA,Badminton,1926315
325,Bronze,DOM,Boxing,1908817
326,Bronze,CPV,Boxing,1892464
327,Bronze,CAN,Boxing,1972293
328,Bronze,GEO,Boxing,1550184
329,Bronze,DOM,Boxing,1943368
330,Bronze,CUB,Boxing,1555548
331,Bronze,ESP,Boxing,1934790
332,Bronze,TJK,Boxing,1909011
333,Bronze,PRK,Boxing,1980125
334,Bronze,KOR,Boxing,1891890
335,Gold,USA,Cycling Road,1955081
336,Silver,NED,Cycling Road,1969165
337,Bronze,BEL,Cycling Road,1903120
338,Gold,GER,Equestrian,1914905
339,Silver,GER,Equestrian,1914909
340,Bronze,GBR,Equestrian,1970905
341,Gold,USA,Golf,1951724
342,Silver,GBR,Golf,1923629
343,Bronze,JPN,Golf,1961406
344,Gold,CHI,Shooting,1937878
345,Silver,GBR,Shooting,1977402
346,Bronze,USA,Shooting,1944397
347,Gold,USA,Swimming,1935902
348,Silver,ITA,Swimming,1925630
349,Bronze,IRL,Swimming,1539969
350,Gold,SWE,Swimming,1572557
351,Silver,AUS,Swimming,1946212
352,Bronze,CHN,Swimming,1945125
353,Gold,CHN,Table Tennis,1902295
354,Silver,SWE,Table Tennis,1563390
355,Bronze,FRA,Table Tennis,1889177
356,Gold,SRB,Tennis,1956398
357,Silver,ESP,Tennis,1563682
358,Gold,JPN,Artistic Gymnastics,1919480
359,Silver,COL,Artistic Gymnastics,1935685
360,Bronze,CHN,Artistic Gymnastics,1918864
361,Bronze,TPE,Artistic Gymnastics,1878037
362,Gold,CHN,Artistic Gymnastics,1918865
363,Silver,UKR,Artistic Gymnastics,1897555
364,Bronze,JPN,Artistic Gymnastics,1919480
365,Gold,ITA,Artistic Gymnastics,1551061
366,Silver,CHN,Artistic Gymnastics,1918881
367,Bronze,ITA,Artistic Gymnastics,1560762
368,Gold,BRA,Artistic Gymnastics,1953634
369,Silver,USA,Artistic Gymnastics,1959861
370,Bronze,ROU,Artistic Gymnastics,1550170
371,Gold,SWE,Athletics,1569203
372,Silver,USA,Athletics,1960178
373,Bronze,GRE,Athletics,1961218
374,Gold,KEN,Athletics,1910560
375,Silver,KEN,Athletics,1910451
376,Bronze,NED,Athletics,1972105
377,Gold,GBR,Athletics,1924429
378,Silver,ETH,Athletics,1536498
379,Bronze,KEN,Athletics,1928047
380,Gold,USA,Athletics,1960721
381,Silver,CHN,Athletics,1919067
382,Bronze,CRO,Athletics,1922205
383,Gold,DEN,Badminton,1888993
384,Silver,THA,Badminton,1926294
