,medal_type,country_code,discipline,code_athlete
822,Silver,AUS,Swimming,1946196
823,Bronze,ITA,Swimming,1925669
824,Bronze,ITA,Swimming,1925681
825,Bronze,ITA,Swimming,1925675
826,Bronze,ITA,Swimming,1925634
827,Bronze,ITA,Swimming,1925635
828,Bronze,ITA,Swimming,1925636
829,Gold,AUS,Swimming,1946221
830,Gold,AUS,Swimming,1946159
831,Gold,AUS,Swimming,1946212
832,Gold,AUS,Swimming,1946177
833,Gold,AUS,Swimming,1946227
834,Gold,AUS,Swimming,1946218
835,Silver,USA,Swimming,1935860
836,Silver,USA,Swimming,1935945
837,Silver,USA,Swimming,1935879
838,Silver,USA,Swimming,1935895
839,Silver,USA,Swimming,1935923
840,Silver,USA,Swimming,1935998
841,Bronze,CHN,Swimming,1945230
842,Bronze,CHN,Swimming,1945206
843,Bronze,CHN,Swimming,1945164
844,Bronze,CHN,Swimming,1945159
845,Bronze,CHN,Swimming,1945125
846,Gold,KOR,Archery,1902121
847,Gold,KOR,Archery,1902147
848,Gold,KOR,Archery,1902148
849,Silver,CHN,Archery,1913382
850,Silver,CHN,Archery,1913372
851,Silver,CHN,Archery,1913380
852,Bronze,MEX,Archery,1535429
853,Bronze,MEX,Archery,1535420
854,Bronze,MEX,Archery,1536479
855,Gold,KOR,Archery,1902130
856,Gold,KOR,Archery,1902135
857,Gold,KOR,Archery,1902144
858,Silver,FRA,Archery,1541270
859,Silver,FRA,Archery,1541272
860,Silver,FRA,Archery,1541275
861,Bronze,TUR,Archery,1565000
862,Bronze,TUR,Archery,1565002
863,Bronze,TUR,Archery,1565006
864,Gold,JPN,Artistic Gymnastics,1919492
865,Gold,JPN,Artistic Gymnastics,1919491
866,Gold,JPN,Artistic Gymnastics,1919480
867,Gold,JPN,Artistic Gymnastics,1919479
868,Gold,JPN,Artistic Gymnastics,1919490
869,Silver,CHN,Artistic Gymnastics,1918856
870,Silver,CHN,Artistic Gymnastics,1918858
871,Silver,CHN,Artistic Gymnastics,1918860
872,Silver,CHN,Artistic Gymnastics,1918864
873,Silver,CHN,Artistic Gymnastics,1918865
874,Bronze,USA,Artistic Gymnastics,1959781
875,Bronze,USA,Artistic Gymnastics,1959855
876,Bronze,USA,Artistic Gymnastics,1959823
877,Bronze,USA,Artistic Gymnastics,1959865
878,Bronze,USA,Artistic Gymnastics,1959811
879,Gold,CHN,Diving,1901555
880,Gold,CHN,Diving,1901554
881,Silver,GBR,Diving,1900838
882,Silver,GBR,Diving,1900857
883,Bronze,CAN,Diving,1959146
884,Bronze,CAN,Diving,1959132
885,Gold,GBR,Equestrian,1970917
886,Gold,GBR,Equestrian,1970898
887,Gold,GBR,Equestrian,1970892
888,Gold,GBR,Equestrian,1970912
889,Silver,FRA,Equestrian,1899846
890,Silver,FRA,Equestrian,1899847
891,Silver,FRA,Equestrian,1899866
892,Silver,FRA,Equestrian,1899848
893,Bronze,JPN,Equestrian,1946432
894,Bronze,JPN,Equestrian,1946434
895,Bronze,JPN,Equestrian,1946438
896,Bronze,JPN,Equestrian,1946428
897,Gold,USA,Artistic Gymnastics,1959861
898,Gold,USA,Artistic Gymnastics,1959819
899,Gold,USA,Artistic Gymnastics,1959825
900,Gold,USA,Artistic Gymnastics,1959866
901,Gold,USA,Artistic Gymnastics,1959814
902,Silver,ITA,Artistic Gymnastics,1560761
903,Silver,ITA,Artistic Gymnastics,1551061
904,Silver,ITA,Artistic Gymnastics,1560762
905,Silver,ITA,Artistic Gymnastics,1560760
906,Silver,ITA,Artistic Gymnastics,1560759
907,Bronze,BRA,Artistic Gymnastics,1953634
908,Bronze,BRA,Artistic Gymnastics,1953624
909,Bronze,BRA,Artistic Gymnastics,1953630
910,Bronze,BRA,Artistic Gymnastics,1953620
911,Bronze,BRA,Artistic Gymnastics,1953626
912,Gold,ITA,Fencing,1924585
913,Gold,ITA,Fencing,1924588
914,Gold,ITA,Fencing,1924587
915,Gold,ITA,Fencing,1924586
916,Silver,FRA,Fencing,1916182
917,Silver,FRA,Fencing,1916183
918,Silver,FRA,Fencing,1916184
919,Silver,FRA,Fencing,1916185
920,Bronze,POL,Fencing,1894213
921,Bronze,POL,Fencing,1894214
922,Bronze,POL,Fencing,1894223
923,Bronze,POL,Fencing,1894217
924,Gold,NZL,Rugby Sevens,1926596
925,Gold,NZL,Rugby Sevens,1926667
926,Gold,NZL,Rugby Sevens,1926592
927,Gold,NZL,Rugby Sevens,1926629
928,Gold,NZL,Rugby Sevens,1926632
929,Gold,NZL,Rugby Sevens,1926635
930,Gold,NZL,Rugby Sevens,1926644
931,Gold,NZL,Rugby Sevens,1926676
932,Gold,NZL,Rugby Sevens,1926634
933,Gold,NZL,Rugby Sevens,1926647
934,Gold,NZL,Rugby Sevens,1926646
935,Gold,NZL,Rugby Sevens,1926593
936,Silver,CAN,Rugby Sevens,1960779
937,Silver,CAN,Rugby Sevens,1960762
938,Silver,CAN,Rugby Sevens,1960778
939,Silver,CAN,Rugby Sevens,1960797
940,Silver,CAN,Rugby Sevens,1960781
941,Silver,CAN,Rugby Sevens,1960837
942,Silver,CAN,Rugby Sevens,1960826
943,Silver,CAN,Rugby Sevens,1960812
944,Silver,CAN,Rugby Sevens,1960822
945,Silver,CAN,Rugby Sevens,1960765
946,Silver,CAN,Rugby Sevens,1960803
947,Silver,CAN,Rugby Sevens,1960834
948,Silver,CAN,Rugby Sevens,1960817
949,Silver,CAN,Rugby Sevens,1960832
950,Bronze,USA,Rugby Sevens,1950500
951,Bronze,USA,Rugby Sevens,1950498
952,Bronze,USA,Rugby Sevens,1950485
953,Bronze,USA,Rugby Sevens,1950504
954,Bronze,USA,Rugby Sevens,1950494
955,Bronze,USA,Rugby Sevens,1950487
956,Bronze,USA,Rugby Sevens,1950505
957,Bronze,USA,Rugby Sevens,1950502
958,Bronze,USA,Rugby Sevens,1950499
959,Bronze,USA,Rugby Sevens,1950501
960,Bronze,USA,Rugby Sevens,1950496
961,Bronze,USA,Rugby Sevens,1950495
962,Gold,SRB,Shooting,1956347
963,Gold,SRB,Shooting,1956356
964,Silver,TUR,Shooting,1564886
965,Silver,TUR,Shooting,1564893
966,Bronze,IND,Shooting,1538159
967,Bronze,IND,Shooting,1545464
968,Gold,GBR,Swimming,1903552
969,Gold,GBR,Swimming,1903602
970,Gold,GBR,Swimming,1903531
971,Gold,GBR,Swimming,1903546
972,Gold,GBR,Swimming,1903617
973,Gold,GBR,Swimming,1903621
974,Silver,USA,Swimming,1935931
975,Silver,USA,Swimming,1935887
976,Silver,USA,Swimming,1935968
977,Silver,USA,Swimming,1935911
978,Silver,USA,Swimming,1935903
979,Silver,USA,Swimming,1935918
980,Silver,USA,Swimming,1935982
981,Bronze,AUS,Swimming,1946196
982,Bronze,AUS,Swimming,1946237
983,Bronze,AUS,Swimming,1946179
984,Bronze,AUS,Swimming,1946231
985,Bronze,AUS,Swimming,1946211
986,Bronze,AUS,Swimming,1946172
987,Gold,CHN,Table Tennis,1902301
988,Gold,CHN,Table Tennis,1902313
989,Silver,PRK,Table Tennis,1980143
990,Silver,PRK,Table Tennis,1980142
991,Bronze,KOR,Table Tennis,1936429
992,Bronze,KOR,Table Tennis,1936435
993,Gold,CHN,Diving,1901544
994,Gold,CHN,Diving,1901545
995,Silver,PRK,Diving,1980116
996,Silver,PRK,Diving,1980115
997,Bronze,GBR,Diving,1900855
998,Bronze,GBR,Diving,1900856
999,Gold,KOR,Fencing,1927116
1000,Gold,KOR,Fencing,1927149
1001,Gold,KOR,Fencing,1927151
1002,Gold,KOR,Fencing,1927115
1003,Silver,HUN,Fencing,1946361
1004,Silver,HUN,Fencing,1946565
1005,Silver,HUN,Fencing,1946558
1006,Silver,HUN,Fencing,1946444
1007,Bronze,FRA,Fencing,1916230
1008,Bronze,FRA,Fencing,1916231
1009,Bronze,FRA,Fencing,1916232
1010,Bronze,FRA,Fencing,1916234
1011,Gold,NED,Rowing,1965580
1012,Gold,NED,Rowing,1965600
1013,Gold,NED,Rowing,1965586
1014,Gold,NED,Rowing,1965584
1015,Silver,ITA,Rowing,1547863
1016,Silver,ITA,Rowing,1560781
1017,Silver,ITA,Rowing,1547871
1018,Silver,ITA,Rowing,1947115
1019,Bronze,POL,Rowing,1928529
1020,Bronze,POL,Rowing,1928520
1021,Bronze,POL,Rowing,1928551
1022,Bronze,POL,Rowing,1928530
1023,Gold,GBR,Rowing,1901074
1024,Gold,GBR,Rowing,1901091
1025,Gold,GBR,Rowing,1901027
1026,Gold,GBR,Rowing,1901039
1027,Silver,NED,Rowing,1965563
1028,Silver,NED,Rowing,1965565
1029,Silver,NED,Rowing,1965572
1030,Silver,NED,Rowing,1965573
1031,Bronze,GER,Rowing,1906511
1032,Bronze,GER,Rowing,1906506
1033,Bronze,GER,Rowing,1906494
1034,Bronze,GER,Rowing,1906483
1035,Gold,USA,Fencing,1950643
1036,Gold,USA,Fencing,1950611
1037,Gold,USA,Fencing,1950584
1038,Gold,USA,Fencing,1950659
1039,Silver,ITA,Fencing,1924276
1040,Silver,ITA,Fencing,1924277
1041,Silver,ITA,Fencing,1924275
1042,Silver,ITA,Fencing,1924279
1043,Bronze,JPN,Fencing,1896544
1044,Bronze,JPN,Fencing,1896545
1045,Bronze,JPN,Fencing,1896517
1046,Bronze,JPN,Fencing,1896535
1047,Gold,ROU,Rowing,1551186
1048,Gold,ROU,Rowing,1551238
1049,Silver,NED,Rowing,1965589
1050,Silver,NED,Rowing,1965588
1051,Bronze,IRL,Rowing,1544454
1052,Bronze,IRL,Rowing,1543317
1053,Gold,USA,Rowing,1944727
1054,Gold,USA,Rowing,1944631
1055,Gold,USA,Rowing,1944681
1056,Gold,USA,Rowing,1944652
1057,Silver,NZL,Rowing,1927001
1058,Silver,NZL,Rowing,1927020
1059,Silver,NZL,Rowing,1927019
1060,Silver,NZL,Rowing,1926991
1061,Bronze,GBR,Rowing,1901100
1062,Bronze,GBR,Rowing,1901026
1063,Bronze,GBR,Rowing,1901025
1064,Bronze,GBR,Rowing,1901050
1065,Gold,NZL,Rowing,1927028
1066,Gold,NZL,Rowing,1927024
1067,Silver,ROU,Rowing,1550303
1068,Silver,ROU,Rowing,1550560
1069,Bronze,GBR,Rowing,1901075
1070,Bronze,GBR,Rowing,1901099
1071,Gold,NED,Rowing,1965560
1072,Gold,NED,Rowing,1965567
1073,Gold,NED,Rowing,1965566
1074,Gold,NED,Rowing,1965557
1075,Silver,GBR,Rowing,1901028
1076,Silver,GBR,Rowing,1901037
1077,Silver,GBR,Rowing,1901086
1078,Silver,GBR,Rowing,1901092
1079,Bronze,NZL,Rowing,1926998
1080,Bronze,NZL,Rowing,1927007
1081,Bronze,NZL,Rowing,1927003
1082,Bronze,NZL,Rowing,1926999
1083,Gold,AUS,Swimming,1946201
1084,Gold,AUS,Swimming,1946188
1085,Gold,AUS,Swimming,1946157
1086,Gold,AUS,Swimming,1946227
1087,Gold,AUS,Swimming,1946218
1088,Gold,AUS,Swimming,1946150
1089,Silver,USA,Swimming,1935967
1090,Silver,USA,Swimming,1935907
1091,Silver,USA,Swimming,1935945
1092,Silver,USA,Swimming,1935979
1093,Silver,USA,Swimming,1935938
1094,Silver,USA,Swimming,1935943
1095,Silver,USA,Swimming,1936000
1096,Bronze,CHN,Swimming,1945224
1097,Bronze,CHN,Swimming,1945222
1098,Bronze,CHN,Swimming,1945171
1099,Bronze,CHN,Swimming,1945223
1100,Bronze,CHN,Swimming,1945169
1101,Bronze,CHN,Swimming,1945159
1102,Gold,KOR,Archery,1902147
1103,Gold,KOR,Archery,1902135
1104,Silver,GER,Archery,1553258
1105,Silver,GER,Archery,1553249
1106,Bronze,USA,Archery,1955601
1107,Bronze,USA,Archery,1955595
1108,Gold,CHN,Badminton,1913418
1109,Gold,CHN,Badminton,1913432
1110,Silver,KOR,Badminton,1891507
1111,Silver,KOR,Badminton,1891502
1112,Bronze,JPN,Badminton,1541614
1113,Bronze,JPN,Badminton,1541619
1114,Gold,CHN,Diving,1901551
1115,Gold,CHN,Diving,1901549
1116,Silver,MEX,Diving,1536197
1117,Silver,MEX,Diving,1535349
1118,Bronze,GBR,Diving,1900840
1119,Bronze,GBR,Diving,1900848
1120,Gold,GBR,Equestrian,1970891
1121,Gold,GBR,Equestrian,1970896
1122,Gold,GBR,Equestrian,1979168
1123,Gold,GBR,Equestrian,1970925
1124,Silver,USA,Equestrian,1951875
1125,Silver,USA,Equestrian,1951819
1126,Silver,USA,Equestrian,1951840
1127,Silver,USA,Equestrian,1951802
1128,Bronze,FRA,Equestrian,1899865
1129,Bronze,FRA,Equestrian,1899843
1130,Bronze,FRA,Equestrian,1899845
1131,Bronze,FRA,Equestrian,1899856
1132,Gold,HUN,Fencing,1946450
1133,Gold,HUN,Fencing,1946370
1134,Gold,HUN,Fencing,1946278
1135,Gold,HUN,Fencing,1946379
1136,Silver,JPN,Fencing,1896548
1137,Silver,JPN,Fencing,1896554
1138,Silver,JPN,Fencing,1896549
1139,Silver,JPN,Fencing,1896538
1140,Bronze,CZE,Fencing,1914523
1141,Bronze,CZE,Fencing,1914535
1142,Bronze,CZE,Fencing,1914540
1143,Bronze,CZE,Fencing,1914531
1144,Gold,IRL,Rowing,1543322
1145,Gold,IRL,Rowing,1572444
1146,Silver,ITA,Rowing,1547870
1147,Silver,ITA,Rowing,1547873
1148,Bronze,GRE,Rowing,1977132
1149,Bronze,GRE,Rowing,1977153
1150,Gold,GBR,Rowing,1901048
1151,Gold,GBR,Rowing,1901071
1152,Silver,ROU,Rowing,1550661
1153,Silver,ROU,Rowing,1550384
1154,Bronze,GRE,Rowing,1977101
1155,Bronze,GRE,Rowing,1977159
1156,Gold,CRO,Rowing,1916685
1157,Gold,CRO,Rowing,1921490
1158,Silver,GBR,Rowing,1901101
1159,Silver,GBR,Rowing,1901066
1160,Bronze,SUI,Rowing,1977804
1161,Bronze,SUI,Rowing,1976556
1162,Gold,NED,Rowing,1965559
1163,Gold,NED,Rowing,1965556
1164,Silver,ROU,Rowing,1550789
1165,Silver,ROU,Rowing,1550289
1166,Bronze,AUS,Rowing,1945670
1167,Bronze,AUS,Rowing,1945644
1168,Gold,ESP,Sailing,1959270
1169,Gold,ESP,Sailing,1959294
1170,Silver,NZL,Sailing,1918833
1171,Silver,NZL,Sailing,1918834
1172,Bronze,USA,Sailing,1950366
1173,Bronze,USA,Sailing,1950381
1174,Gold,NED,Sailing,1970495
1175,Gold,NED,Sailing,1970514
1176,Silver,SWE,Sailing,1564653
1177,Silver,SWE,Sailing,1564657
1178,Bronze,FRA,Sailing,1559558
1179,Bronze,FRA,Sailing,1559559
1180,Gold,CZE,Tennis,1901342
1181,Gold,CZE,Tennis,1901333
1182,Silver,CHN,Tennis,1927719
1183,Silver,CHN,Tennis,1927704
1184,Bronze,CAN,Tennis,1972627
1185,Bronze,CAN,Tennis,1972646
1186,Gold,NED,Athletics,1972116
1187,Gold,NED,Athletics,1972234
1188,Gold,NED,Athletics,1972078
1189,Gold,NED,Athletics,1972115
1190,Gold,NED,Athletics,1972240
1191,Gold,NED,Athletics,1972077
1192,Silver,USA,Athletics,1960590
1193,Silver,USA,Athletics,1960111
1194,Silver,USA,Athletics,4979564
1195,Silver,USA,Athletics,1960650
1196,Silver,USA,Athletics,1960179
1197,Silver,USA,Athletics,4979557
1198,Bronze,GBR,Athletics,1924406
1199,Bronze,GBR,Athletics,1924426
1200,Bronze,GBR,Athletics,1956844
1201,Bronze,GBR,Athletics,1956853
1202,Bronze,GBR,Athletics,1924383
1203,Bronze,GBR,Athletics,1956846
1204,Bronze,GBR,Athletics,1924464
1205,Bronze,GBR,Athletics,1924506
1206,Bronze,GBR,Athletics,1924509
1207,Gold,CHN,Badminton,1913438
1208,Gold,CHN,Badminton,1913439
1209,Silver,CHN,Badminton,1913441
1210,Silver,CHN,Badminton,1913442
1211,Bronze,JPN,Badminton,1541630
1212,Bronze,JPN,Badminton,1541629
1213,Gold,GER,Equestrian,1914905
1214,Gold,GER,Equestrian,1914936
1215,Gold,GER,Equestrian,1914909
1216,Gold,GER,Equestrian,1914907
1217,Silver,DEN,Equestrian,1892359
1218,Silver,DEN,Equestrian,1892363
1219,Silver,DEN,Equestrian,1892358
1220,Silver,DEN,Equestrian,1892364
1221,Bronze,GBR,Equestrian,1970905
1222,Bronze,GBR,Equestrian,1970910
1223,Bronze,GBR,Equestrian,1970921
1224,Bronze,GBR,Equestrian,1970907
1225,Gold,UKR,Fencing,1897644
1226,Gold,UKR,Fencing,1897638
1227,Gold,UKR,Fencing,1897637
1228,Gold,UKR,Fencing,1897633
1229,Silver,KOR,Fencing,1927158
1230,Silver,KOR,Fencing,1927123
1231,Silver,KOR,Fencing,1927113
1232,Silver,KOR,Fencing,1927122
1233,Bronze,JPN,Fencing,1896542
1234,Bronze,JPN,Fencing,1896519
1235,Bronze,JPN,Fencing,1896541
1236,Bronze,JPN,Fencing,1896522
1237,Gold,FRA,Judo,1891280
1238,Gold,FRA,Judo,1891283
1239,Gold,FRA,Judo,1891286
1240,Gold,FRA,Judo,1891289
1241,Gold,FRA,Judo,1891292
1242,Gold,FRA,Judo,1891300
1243,Gold,FRA,Judo,1891297
1244,Gold,FRA,Judo,1891311
1245,Gold,FRA,Judo,1891307
1246,Gold,FRA,Judo,1891304
1247,Gold,FRA,Judo,1891314
1248,Gold,FRA,Judo,1891318
1249,Gold,FRA,Judo,1891320
1250,Gold,FRA,Judo,1891323
1251,Silver,JPN,Judo,1896760
1252,Silver,JPN,Judo,1896733
1253,Silver,JPN,Judo,1896735
1254,Silver,JPN,Judo,1896744
1255,Silver,JPN,Judo,1896767
1256,Silver,JPN,Judo,1896762
1257,Silver,JPN,Judo,1896743
1258,Silver,JPN,Judo,1896763
1259,Silver,JPN,Judo,1896740
1260,Silver,JPN,Judo,1896752
1261,Silver,JPN,Judo,1896750
1262,Silver,JPN,Judo,1896765
1263,Silver,JPN,Judo,1896748
1264,Silver,JPN,Judo,1896764
1265,Bronze,BRA,Judo,1953817
1266,Bronze,BRA,Judo,1953835
1267,Bronze,BRA,Judo,1953812
1268,Bronze,BRA,Judo,1953777
1269,Bronze,BRA,Judo,1953781
1270,Bronze,BRA,Judo,1953840
1271,Bronze,BRA,Judo,1953832
1272,Bronze,BRA,Judo,1953799
1273,Bronze,BRA,Judo,1953816
1274,Bronze,BRA,Judo,1953836
1275,Bronze,KOR,Judo,1928067
1276,Bronze,KOR,Judo,1940097
1277,Bronze,KOR,Judo,1940098
1278,Bronze,KOR,Judo,1928071
1279,Bronze,KOR,Judo,1928070
1280,Bronze,KOR,Judo,1928082
1281,Bronze,KOR,Judo,1928064
1282,Bronze,KOR,Judo,1928074
1283,Bronze,KOR,Judo,1928066
1284,Bronze,KOR,Judo,1928079
1285,Bronze,KOR,Judo,1928072
1286,Gold,GBR,Rowing,1901045
1287,Gold,GBR,Rowing,1901068
1288,Gold,GBR,Rowing,1901036
1289,Gold,GBR,Rowing,1901051
1290,Gold,GBR,Rowing,1901062
1291,Gold,GBR,Rowing,1901056
1292,Gold,GBR,Rowing,1901089
1293,Gold,GBR,Rowing,1901064
1294,Gold,GBR,Rowing,1901041
1295,Silver,NED,Rowing,1965596
1296,Silver,NED,Rowing,1965587
1297,Silver,NED,Rowing,1965601
1298,Silver,NED,Rowing,1965592
1299,Silver,NED,Rowing,1965583
1300,Silver,NED,Rowing,1965548
1301,Silver,NED,Rowing,1965597
1302,Silver,NED,Rowing,1965581
1303,Silver,NED,Rowing,1965562
1304,Bronze,USA,Rowing,1944696
1305,Bronze,USA,Rowing,1944757
1306,Bronze,USA,Rowing,1944764
1307,Bronze,USA,Rowing,1944660
1308,Bronze,USA,Rowing,1944642
1309,Bronze,USA,Rowing,1944646
1310,Bronze,USA,Rowing,1944625
1311,Bronze,USA,Rowing,1944747
1312,Bronze,USA,Rowing,1944731
1313,Gold,ROU,Rowing,1550630
1314,Gold,ROU,Rowing,1550289
1315,Gold,ROU,Rowing,1550303
1316,Gold,ROU,Rowing,1550437
1317,Gold,ROU,Rowing,1550285
1318,Gold,ROU,Rowing,1550294
1319,Gold,ROU,Rowing,1550789
1320,Gold,ROU,Rowing,1550560
1321,Gold,ROU,Rowing,1550542
1322,Silver,CAN,Rowing,1967522
1323,Silver,CAN,Rowing,4031142
1324,Silver,CAN,Rowing,1967515
1325,Silver,CAN,Rowing,1967511
1326,Silver,CAN,Rowing,1967530
1327,Silver,CAN,Rowing,1967517
1328,Silver,CAN,Rowing,1967528
1329,Silver,CAN,Rowing,1967508
1330,Silver,CAN,Rowing,1967514
1331,Bronze,GBR,Rowing,1901079
1332,Bronze,GBR,Rowing,1901080
1333,Bronze,GBR,Rowing,1901059
1334,Bronze,GBR,Rowing,1901065
1335,Bronze,GBR,Rowing,1901077
1336,Bronze,GBR,Rowing,1901094
1337,Bronze,GBR,Rowing,1901096
1338,Bronze,GBR,Rowing,1901044
1339,Bronze,GBR,Rowing,1901063
1340,Gold,USA,Swimming,1935984
1341,Gold,USA,Swimming,1935992
1342,Gold,USA,Swimming,1935896
1343,Gold,USA,Swimming,1935860
1344,Gold,USA,Swimming,1935901
1345,Gold,USA,Swimming,1935923
1346,Gold,USA,Swimming,1935957
1347,Gold,USA,Swimming,1935998
1348,Silver,CHN,Swimming,1945132
1349,Silver,CHN,Swimming,1945200
1350,Silver,CHN,Swimming,1945125
1351,Silver,CHN,Swimming,1945148
1352,Silver,CHN,Swimming,1945128
1353,Silver,CHN,Swimming,1945159
1354,Bronze,AUS,Swimming,1946183
1355,Bronze,AUS,Swimming,1946185
1356,Bronze,AUS,Swimming,1946177
1357,Bronze,AUS,Swimming,1946200
1358,Bronze,AUS,Swimming,1946198
1359,Bronze,AUS,Swimming,1946218
1360,Bronze,AUS,Swimming,1946209
1361,Bronze,AUS,Swimming,1946195
1362,Gold,AUS,Tennis,1967767
1363,Gold,AUS,Tennis,1967762
1364,Silver,USA,Tennis,1930790
1365,Silver,USA,Tennis,1930804
1366,Bronze,USA,Tennis,1930782
1367,Bronze,USA,Tennis,1930801
1368,Gold,TPE,Badminton,1570107
1369,Gold,TPE,Badminton,1570105
1370,Silver,CHN,Badminton,1913424
1371,Silver,CHN,Badminton,1913429
1372,Bronze,MAS,Badminton,1566564
1373,Bronze,MAS,Badminton,1569961
1374,Gold,JPN,Fencing,1896550
1375,Gold,JPN,Fencing,1896532
1376,Gold,JPN,Fencing,1896553
1377,Gold,JPN,Fencing,1896551
1378,Silver,ITA,Fencing,1924291
1379,Silver,ITA,Fencing,1924289
1380,Silver,ITA,Fencing,1924287
1381,Silver,ITA,Fencing,1924290
1382,Bronze,FRA,Fencing,1916213
1383,Bronze,FRA,Fencing,1916215
1384,Bronze,FRA,Fencing,1916216
1385,Bronze,FRA,Fencing,1916217
1386,Gold,CHN,Swimming,1945132
1387,Gold,CHN,Swimming,1945128
1388,Gold,CHN,Swimming,1945149
1389,Gold,CHN,Swimming,1945148
1390,Gold,CHN,Swimming,1945127
1391,Silver,USA,Swimming,1935871
1392,Silver,USA,Swimming,1935992
1393,Silver,USA,Swimming,1935915
1394,Silver,USA,Swimming,1935869
1395,Silver,USA,Swimming,1935896
1396,Silver,USA,Swimming,1935901
1397,Silver,USA,Swimming,1935957
1398,Bronze,FRA,Swimming,1909299
1399,Bronze,FRA,Swimming,1909294
1400,Bronze,FRA,Swimming,1909307
1401,Bronze,FRA,Swimming,1909278
1402,Bronze,FRA,Swimming,1909284
1403,Bronze,FRA,Swimming,1909292
1404,Gold,USA,Swimming,1935873
1405,Gold,USA,Swimming,1935999
1406,Gold,USA,Swimming,1935979
1407,Gold,USA,Swimming,1935895
1408,Gold,USA,Swimming,1935923
1409,Gold,USA,Swimming,1935932
1410,Gold,USA,Swimming,1935984
1411,Gold,USA,Swimming,1935998
1412,Silver,AUS,Swimming,1946183
1413,Silver,AUS,Swimming,1946174
1414,Silver,AUS,Swimming,1946146
1415,Silver,AUS,Swimming,1946212
1416,Silver,AUS,Swimming,1946177
1417,Silver,AUS,Swimming,1946198
1418,Silver,AUS,Swimming,1946218
1419,Silver,AUS,Swimming,1946190
1420,Bronze,CHN,Swimming,1945157
1421,Bronze,CHN,Swimming,1945200
1422,Bronze,CHN,Swimming,1945164
1423,Bronze,CHN,Swimming,1945206
1424,Bronze,CHN,Swimming,1945202
1425,Bronze,CHN,Swimming,1945159
1426,Bronze,CHN,Swimming,1945125
1427,Gold,ITA,Tennis,1562409
1428,Gold,ITA,Tennis,1910330
1429,Silver,AIN,Tennis,1979734
1430,Silver,AIN,Tennis,1979732
1431,Bronze,ESP,Tennis,1563687
1432,Bronze,ESP,Tennis,1563681
1433,Gold,NED,3x3 Basketball,1970800
1434,Gold,NED,3x3 Basketball,1970792
1435,Gold,NED,3x3 Basketball,1970796
1436,Gold,NED,3x3 Basketball,1970797
1437,Silver,FRA,3x3 Basketball,1568595
1438,Silver,FRA,3x3 Basketball,1568603
1439,Silver,FRA,3x3 Basketball,1568606
1440,Silver,FRA,3x3 Basketball,1568608
1441,Bronze,LTU,3x3 Basketball,1943480
1442,Bronze,LTU,3x3 Basketball,1943486
1443,Bronze,LTU,3x3 Basketball,1943471
1444,Bronze,LTU,3x3 Basketball,1943515
1445,Gold,GER,3x3 Basketball,1898807
1446,Gold,GER,3x3 Basketball,1898816
1447,Gold,GER,3x3 Basketball,1898835
1448,Gold,GER,3x3 Basketball,1898870
1449,Silver,ESP,3x3 Basketball,1958461
1450,Silver,ESP,3x3 Basketball,1958573
1451,Silver,ESP,3x3 Basketball,1958504
1452,Silver,ESP,3x3 Basketball,1958475
1453,Bronze,USA,3x3 Basketball,1954736
1454,Bronze,USA,3x3 Basketball,1954768
1455,Bronze,USA,3x3 Basketball,1954785
1456,Bronze,USA,3x3 Basketball,1954738
1457,Gold,GBR,Cycling Track,1957082
1458,Gold,GBR,Cycling Track,1912522
1459,Gold,GBR,Cycling Track,1912514
1460,Gold,GBR,Cycling Track,1912564
1461,Silver,NZL,Cycling Track,1945040
1462,Silver,NZL,Cycling Track,1945068
1463,Silver,NZL,Cycling Track,1945035
1464,Silver,NZL,Cycling Track,1945038
1465,Bronze,GER,Cycling Track,1889702
1466,Bronze,GER,Cycling Track,1889704
1467,Bronze,GER,Cycling Track,1889703
1468,Bronze,GER,Cycling Track,1889705
1469,Gold,ITA,Shooting,1915325
1470,Gold,ITA,Shooting,1915333
1471,Silver,USA,Shooting,1944397
1472,Silver,USA,Shooting,1944354
1473,Bronze,CHN,Shooting,1913978
1474,Bronze,CHN,Shooting,1961747
1475,Gold,GER,Triathlon,1558780
1476,Gold,GER,Triathlon,1558784
1477,Gold,GER,Triathlon,1558775
1478,Gold,GER,Triathlon,1558773
1479,Silver,USA,Triathlon,1930750
1480,Silver,USA,Triathlon,1930752
1481,Silver,USA,Triathlon,1930747
1482,Silver,USA,Triathlon,1930739
1483,Bronze,GBR,Triathlon,1904251
1484,Bronze,GBR,Triathlon,1904248
1485,Bronze,GBR,Triathlon,1904232
1486,Bronze,GBR,Triathlon,1904244
1487,Gold,NED,Cycling Track,1969218
1488,Gold,NED,Cycling Track,1969182
1489,Gold,NED,Cycling Track,1969203
1490,Gold,NED,Cycling Track,1969204
1491,Silver,GBR,Cycling Track,1912515
1492,Silver,GBR,Cycling Track,1912568
1493,Silver,GBR,Cycling Track,1912536
1494,Silver,GBR,Cycling Track,1912567
1495,Bronze,AUS,Cycling Track,1940262
1496,Bronze,AUS,Cycling Track,1940263
1497,Bronze,AUS,Cycling Track,1940260
1498,Bronze,AUS,Cycling Track,1940267
1499,Gold,CHN,Artistic Swimming,1908847
1500,Gold,CHN,Artistic Swimming,1908846
1501,Gold,CHN,Artistic Swimming,1908853
1502,Gold,CHN,Artistic Swimming,1908850
1503,Gold,CHN,Artistic Swimming,1908852
