,code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date
10,1533189,True,TAPIA VIDAL Rosa Maria,TAPIA VIDAL RM,Rosa Maria TAPIA VIDAL,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Triathlon'],"[""Women's Individual""]",1997-08-27
11,1533190,True,GRAJALES Crisanto,GRAJALES C,Crisanto GRAJALES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Triathlon'],"[""Men's Individual""]",1987-05-06
12,1533208,True,MAAROUFOU Hachim,MAAROUFOU H,Hachim MAAROUFOU,Male,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,183.0,0.0,['Athletics'],"[""Men's 100m""]",1997-02-13
13,1533209,True,SAADI Maesha,SAADI M,Maesha SAADI,Female,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,0.0,0.0,['Swimming'],"[""Women's 50m Freestyle""]",2007-01-16
14,1533230,True,DIOSDADO Nuria,DIOSDADO N,Nuria DIOSDADO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],"['Team', 'Duet']",1990-08-22
15,1533231,True,JIMENEZ Joana,JIMENEZ J,Joana JIMENEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],"['Team', 'Duet']",1993-08-19
16,1533232,True,SOBRINO Jessica,SOBRINO J,Jessica SOBRINO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],1994-05-26
17,1533234,True,ALFEREZ Regina,ALFEREZ R,Regina ALFEREZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],1997-12-01
18,1533235,True,ARELLANO Fernanda,ARELLANO F,Fernanda ARELLANO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],2002-02-28
19,1533237,True,TOSCANO Pamela,TOSCANO P,Pamela TOSCANO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],2000-01-13
20,1533239,True,GONZALEZ Itzamary,GONZALEZ I,Itzamary GONZALEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],2003-11-14
21,1533240,True,RODRIGUEZ Samanta,RODRIGUEZ S,Samanta RODRIGUEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],1994-12-05
22,1533243,True,INZUNZA Glenda,INZUNZA G,Glenda INZUNZA,Female,Alternate Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],2000-03-12
23,1533245,True,SEHEN Sajjad,SEHEN S,Sajjad SEHEN,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,0.0,0.0,['Judo'],['Men -81 kg'],1996-03-08
24,1533359,True,RUBAIAWI Ali Ammar Yusur,RUBAIAWI AAY,Ali Ammar Yusur RUBAIAWI,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,0.0,0.0,['Weightlifting'],"[""Men's +102kg""]",2004-08-02
25,1533364,True,ISMAIL Mohamed,ISMAIL M,Mohamed ISMAIL,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,170.0,0.0,['Athletics'],"[""Men's 5000m""]",1997-01-01
26,1533371,True,HASSAN Ibrahim,HASSAN I,Ibrahim HASSAN,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,170.0,0.0,['Athletics'],"[""Men's Marathon""]",1997-01-01
27,1533372,True,WAISS Abdi,WAISS A,Abdi WAISS,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,170.0,0.0,['Athletics'],"[""Men's 5000m""]",1996-07-03
28,1533374,True,HASSAN NOUR Samiyah,HASSAN NOUR S,Samiyah HASSAN NOUR,Female,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,160.0,0.0,['Athletics'],"[""Women's 5000m""]",1999-12-05
29,1533378,True,HOUSSEIN BARKAT Houmed,HOUSSEIN BARKAT H,Houmed HOUSSEIN BARKAT,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,0.0,0.0,['Swimming'],"[""Men's 50m Freestyle""]",2004-04-04
30,1535180,True,BARAT Andy,BARAT A,Andy BARAT,Male,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,0.0,0.0,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",1997-11-29
31,1535186,True,MARTINEZ RAMIREZ Miguel Angel,MARTINEZ RAMIREZ M,Miguel Angel MARTINEZ RAMIREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,178.0,0.0,['Boxing'],"[""Men's 63.5kg""]",2001-03-17
32,1535187,True,VERDE ALVAREZ Marco Alonso,VERDE ALVAREZ MA,Marco Alonso VERDE ALVAREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,180.0,0.0,['Boxing'],"[""Men's 71kg""]",2002-02-11
33,1535191,True,GONZALEZ Alegna,GONZALEZ A,Alegna GONZALEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,158.0,0.0,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1999-01-02
34,1535195,True,LOPEZ Jesus Tonatiu,LOPEZ JT,Jesus Tonatiu LOPEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,190.0,0.0,['Athletics'],"[""Men's 800m""]",1997-08-02
35,1535199,True,PORTILLO Erick,PORTILLO E,Erick PORTILLO,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,190.0,0.0,['Athletics'],"[""Men's High Jump""]",2000-10-05
36,1535201,True,MUNOZ Uziel,MUNOZ U,Uziel MUNOZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,185.0,0.0,['Athletics'],"[""Men's Shot Put""]",1995-09-08
37,1535202,True,del REAL Diego,del REAL D,Diego del REAL,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,185.0,0.0,['Athletics'],"[""Men's Hammer Throw""]",1994-03-06
38,1535203,True,DOCTOR Jose Luis,DOCTOR JL,Jose Luis DOCTOR,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,175.0,0.0,['Athletics'],"[""Men's 20km Race Walk""]",1996-06-14
39,1535212,True,MORAN Paola,MORAN P,Paola MORAN,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,169.0,0.0,['Athletics'],"[""Women's 400m""]",1997-02-25
40,1535214,True,GALVAN Laura,GALVAN L,Laura GALVAN,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,162.0,0.0,['Athletics'],"[""Women's 5000m""]",1991-10-05
41,1535216,True,CORTES Alma Delia,CORTES AD,Alma Delia CORTES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,160.0,0.0,['Athletics'],"[""Women's 5000m""]",1997-12-26
42,1535217,True,CRISTIAN MOSCOTE Citlali,CRISTIAN MOSCOTE C,Citlali CRISTIAN MOSCOTE,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,154.0,0.0,['Athletics'],"[""Women's Marathon""]",1995-04-15
43,1535222,True,PALMA OLIVARES Ever Jair,PALMA OLIVARES EJ,Ever Jair PALMA OLIVARES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,168.0,0.0,['Athletics'],['Marathon Race Walk Relay Mixed'],1992-03-18
44,1535225,True,OETLING RAMIREZ Elena,OETLING RAMIREZ E,Elena OETLING RAMIREZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Sailing'],"[""Women's Dinghy""]",1993-04-18
45,1535226,True,AGUILAR CHAVEZ PEON Mariana,AGUILAR CH P,Mariana AGUILAR CHAVEZ PEON,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Sailing'],"[""Women's Windsurfing""]",1999-03-12
46,1535252,True,LECHUGA ALANIS Kenia,LECHUGA ALANIS K,Kenia LECHUGA ALANIS,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Rowing'],"[""Women's Single Sculls""]",1994-06-26
47,1535260,True,LOPEZ GARCIA Alexis,LOPEZ GARCIA A,Alexis LOPEZ GARCIA,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Rowing'],"[""Lightweight Men's Double Sculls""]",1997-05-01
48,1535267,True,CARBALLO NIETO Miguel,CARBALLO NIETO M,Miguel CARBALLO NIETO,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Rowing'],"[""Lightweight Men's Double Sculls""]",1992-07-08
49,1535310,True,BLANCO Luisa,BLANCO L,Luisa BLANCO,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,0.0,0.0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",2001-11-18
50,1535343,True,WILLARS VALDEZ Randal,WILLARS VALDEZ R,Randal WILLARS VALDEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",2002-04-30
51,1535345,True,BERLIN REYES Kevin,BERLIN REYES K,Kevin BERLIN REYES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",2001-04-25
52,1535346,True,OROZCO LOZA Alejandra,OROZCO LOZA A,Alejandra OROZCO LOZA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",1997-04-19
53,1535348,True,AGUNDEZ GARCIA Gabriela,AGUNDEZ GARCIA G,Gabriela AGUNDEZ GARCIA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",2000-08-04
54,1535349,True,OLVERA IBARRA Osmar,OLVERA IBARRA O,Osmar OLVERA IBARRA,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Diving'],"[""Men's 3m Springboard"", ""Men's Synchronised 3m Springboard""]",2004-06-05
55,1535350,True,GARZA PEREZ Eugenio,GARZA PEREZ E,Eugenio GARZA PEREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1996-07-23
56,1535351,True,FERNANDEZ Federico,FERNANDEZ F,Federico FERNANDEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1968-03-28
57,1535354,True,de LARA OJEDA Miguel Alejandro,de LARA OJEDA MA,Miguel Alejandro de LARA OJEDA,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Swimming'],"[""Men's 100m Breaststroke"", ""Men's 200m Breaststroke""]",1994-08-09
58,1535356,True,MORENO Alexa,MORENO A,Alexa MORENO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",1994-08-08
59,1535357,True,SANDOVAL Ahtziri,SANDOVAL A,Ahtziri SANDOVAL,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",1996-10-05
60,1535358,True,FLORES Sofia,FLORES S,Sofia FLORES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Rhythmic Gymnastics'],['Group All-Around'],2004-12-20
61,1535359,True,SALAZAR Kimberly,SALAZAR K,Kimberly SALAZAR,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Rhythmic Gymnastics'],['Group All-Around'],2004-04-24
62,1535360,True,TEJEDA Adirem,TEJEDA A,Adirem TEJEDA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Rhythmic Gymnastics'],['Group All-Around'],2002-06-21
